    -1.53014     0.45337     1.00000
   -23.40886     7.63506     1.00000
   -64.05261    21.78809     1.00000
     2.88661     0.36396     0.00000
    -8.56531     1.72985     0.00000
   -30.73478     5.50196     0.00000
    -2.42630     0.34113     0.00000
   -37.92423     4.63007     0.00000
  -102.16708    12.65733     0.00000
     0.83143     0.40363     1.00000
     2.52161     0.81432     1.00000
     5.00664     2.37415     1.00000
     0.00197     0.00070     1.00000
    -0.00614     0.00209     1.00000
    -0.02345     0.00719     1.00000
    -0.00066     0.00009     0.00000
    -0.00305     0.00026     0.00000
    -0.00721     0.00050     0.00000
